H_sin,H_cos,S,B,H,RGB,HEX,name
0.47090644988791847,0.8814949099268916,0.6087983098531855,0.2663893840364427,28.11173299196521,"(67, 45, 26)",#432d1a,chocolate
-0.10918508446234804,-0.9927850522946247,0.45903003945395676,0.31191950464396334,186.2760855509923,"(43, 75, 79)",#2b4b4f,dark-grey-blue
0.33261651249509694,0.942508121753941,0.6550567545760109,0.8260590459846819,19.43822861043558,"(210, 117, 72)",#d27548,terracota
-0.9416438227534478,0.33262530008329144,0.10593824569361548,0.5182245205774624,289.4552060691488,"(129, 118, 132)",#817684,purple-grey
-0.03825877813488654,0.9984650163656046,0.38721849274308107,0.34638068945990025,357.8056370534085,"(88, 54, 55)",#583637,purple-brown
0.3321357499979928,0.9426868013544516,0.21218702972090042,0.9368096322031865,19.408830950531282,"(238, 204, 188)",#eeccbc,pale-rose
-0.9367682154170431,-0.3456789664765006,0.2958688639491717,0.4763418881065947,249.74532037246448,"(91, 85, 121)",#5b5579,dusk
-0.9665573758703216,0.25039957857512063,0.11620998837062707,0.3274771940861916,284.52393603267006,"(81, 73, 83)",#514953,charcoal-grey
-0.2452279475033528,0.9686038859682309,0.24229569178058663,0.5452667088340717,345.79257937565484,"(139, 105, 113)",#8b6971,dusky-purple
-0.9944346002070574,-0.05143644126319519,0.8456980322776262,0.3859761295822677,267.0390541639087,"(52, 15, 98)",#340f62,dark-indigo
-0.09905534566889712,0.9943302653861912,0.2549031488600313,0.33603626039747087,354.31095510726385,"(85, 63, 65)",#553f41,purple-brown
0.02916225529261876,-0.9978247076366511,0.4426530381685543,0.15555104800540798,178.32595980538244,"(22, 39, 39)",#162727,dark
0.017652687222094676,0.9993026537169334,0.6888744046352424,0.5457474122943367,1.0120250206482488,"(139, 44, 43)",#8b2c2b,red-brown
0.22087756832980057,0.9746861212445006,0.6560920430766808,0.2921923644109459,12.768375079087393,"(74, 36, 25)",#4a2419,chocolate
-0.8535538249692025,0.5170526663896853,0.4152530645660045,0.3486845612031229,301.2059960631475,"(88, 51, 88)",#583358,grape
0.7148342284725201,0.6982260999563676,0.7672764907639247,0.953144738811555,45.67338374528861,"(243, 198, 56)",#f3c638,macaroni-and-cheese
-0.7331825576028437,-0.6782932175044738,0.5856401147413494,0.28606102796148053,227.22699085196157,"(30, 39, 72)",#1e2748,dark-blue-grey
0.9917594994735989,0.10425355000940406,0.8367945759618648,0.8040070857003239,83.99911853592334,"(136, 205, 33)",#88cd21,apple-green
0.3792046300048558,0.9245826517882685,0.8973526016014178,0.4724876385336749,22.300299671610862,"(120, 52, 12)",#78340c,reddish-brown
-0.46763700510572714,0.8827912216199991,0.20857826950868133,0.7726617083615055,332.0886911241382,"(197, 155, 175)",#c59baf,light-mauve
-0.3783533297464563,-0.9248051632399468,0.34250211510971124,0.629163099751335,202.2502944545477,"(105, 140, 160)",#698ca0,grey-blue
0.8553377118446053,0.516787288189078,0.10440202214374666,0.35609460278957034,58.86000910547326,"(90, 90, 81)",#5a5a51,gunmetal
0.2016078597038853,0.9787409761561225,0.22362792120711655,0.9321143120004594,11.639382657631042,"(237, 194, 184)",#edc2b8,pale-rose
0.7079216680380447,0.7051480042301466,0.7265415549121879,0.8426335938978409,45.1124636873917,"(214, 176, 58)",#d6b03a,macaroni-and-cheese
0.24143895460026604,-0.9696887003872368,0.10558676185153948,0.6501641544684478,166.01844752090292,"(148, 165, 161)",#94a5a1,cool-grey
-0.4247665169212783,0.903827939342889,0.38192502268007883,0.7648061782257662,334.82816893360507,"(195, 120, 151)",#c37897,dusky-pink
-0.24029978107122474,-0.969814811890471,0.12372805572633933,0.43057866076237283,193.91641466726043,"(96, 106, 109)",#606a6d,slate-grey
