H_sin,H_cos,S,B,H,RGB,HEX,name
0.4441851545034554,0.8954874012166243,0.4795008845257267,0.7065774647587074,26.382613241650002,"(180, 131, 93)",#b4835d,light-brown
-0.5304478862566779,-0.8466665881978217,0.22107539874577986,0.5086074708626895,212.06769136728315,"(101, 114, 129)",#657281,battleship-grey
0.8615484747024691,-0.5064645706314443,0.05989751134495286,0.5630718404466326,120.44930451285232,"(134, 143, 135)",#868f87,grey
-0.4554278049693967,0.888423182163147,0.24066144443201667,0.8983693024434144,332.8591950955207,"(229, 173, 198)",#e5adc6,soft-pink
0.8660254037844384,0.5000000000000001,0.02655140650586102,0.9094240175123667,59.999999999999986,"(231, 231, 225)",#e7e7e1,light-grey
0.09530537326054023,0.9947445107130828,0.5008769678790882,0.30022117300411605,5.472740776930101,"(76, 41, 38)",#4c2926,dark-grey
-0.9876577520536687,-0.15175698074835614,0.14413680896780667,0.1494480502495224,261.2646261633089,"(34, 32, 38)",#222026,dark
0.0,0.9999999999999998,0.0064911339632124365,0.7196913625736638,0.0,"(183, 182, 182)",#b7b6b6,pinkish-grey
0.10880630676198445,-0.9932906214444885,0.13581848981616745,0.5030378359195263,173.7486724058785,"(110, 128, 126)",#6e807e,battleship-grey
0.6673841793113583,0.7439622501703048,0.3950273432389374,0.4779024876661203,41.894240828611665,"(121, 107, 73)",#796b49,greyish-brown
0.33475724435467324,0.9417173856319079,0.5148648958215211,0.21365872341134146,19.569042102313315,"(54, 35, 26)",#36231a,dark-brown
0.6822842902974231,0.7303145784374172,0.3179459924479118,0.9497201074121683,43.05261557360554,"(242, 220, 165)",#f2dca5,beige
-0.9654789559713874,0.25182409948289086,0.2955097362844883,0.5745657002100428,284.61865277340763,"(135, 103, 146)",#876792,dark-lavender
-0.299570106686059,0.9525880958634532,0.09486644666215671,0.3321265641900993,342.5426700154372,"(84, 76, 78)",#544c4e,purplish-brown
0.34689288077620806,0.9373429277871301,0.169388945144271,0.7206745338970932,20.308559628239,"(183, 163, 152)",#b7a398,greyish
0.9467657432063259,0.31888238177933714,0.19781764505026994,0.6375690599646712,71.38583984339536,"(156, 162, 130)",#9ca282,greenish-grey
-0.03155576051456632,0.9986481759121384,0.7851749339142367,0.6090636586567202,358.1901428792474,"(155, 33, 37)",#9b2125,brownish-red
0.6446625737290037,0.7639872207072143,0.1894127923756497,0.8721858234768602,40.15811795537536,"(222, 208, 180)",#ded0b4,beige
-0.41656079169786764,-0.908682635966956,0.059285718690112676,0.9386728797482415,204.6277983869947,"(225, 233, 239)",#e1e9ef,ice
-0.6945780356598578,-0.7163340191168215,0.948216504174059,0.07213058367496417,224.11658048033388,"(0, 5, 18)",#000512,almost-black
-0.5377410290484108,-0.8416977833670405,0.5317163837002024,0.5413195800531102,212.57355765423296,"(64, 98, 138)",#40628a,denim
-0.7497929981295982,0.659247135015091,0.3334729073392887,0.10716136518266195,311.32319030238034,"(27, 18, 25)",#1b1219,almost-black
-1.9566847731800063e-06,0.9999999383658049,0.00032259513402665974,0.9980947567092242,359.99988789021376,"(254, 254, 254)",#fefefe,pale-grey
-0.8865945185181472,-0.45782325842357213,0.20264249624499409,0.8565954336290115,242.68889161045036,"(176, 174, 218)",#b0aeda,cloudy-blue
0.38849305846739,-0.9205469113712128,0.0699619210839722,0.8595878336042713,157.11907905974493,"(203, 219, 213)",#cbdbd5,light-grey
0.5021587569948217,0.8639974486474938,0.23453371370933687,0.31026284628691153,30.16532474189788,"(79, 69, 60)",#4f453c,charcoal-grey
0.7985733133684118,0.6008902705391408,0.18295459619166488,0.2492961849962968,53.040194968089885,"(63, 62, 51)",#3f3e33,dark-grey
0.24824332618433995,0.9679290507964393,0.7942026968771838,0.4298409848714834,14.38452659251326,"(109, 43, 22)",#6d2b16,chestnut
0.1698673769835264,0.984773226159446,0.1988479568530392,0.16001278672790453,9.78686440567615,"(40, 34, 32)",#282220,dark
0.7887875299008137,0.6117684304278358,0.8651758471259506,0.766923972067806,52.20353279173479,"(195, 173, 26)",#c3ad1a,olive-yellow
-0.9489258008795398,0.31112575952909066,0.05100644110829594,0.9239223707934482,288.1528446986389,"(233, 223, 235)",#e9dfeb,pale-lavender
