support,itemsets
0.00020816144244525353,"frozenset({'decade_1870', 'cluster_43'})"
0.00010597309797212908,"frozenset({'decade_1870', 'cluster_52'})"
0.00029899552642136416,"frozenset({'decade_1870', 'cluster_75'})"
0.00042767714538752093,"frozenset({'decade_1870', 'cluster_77'})"
0.00021573094944326275,"frozenset({'decade_1870', 'cluster_83'})"
0.00014382063296217517,"frozenset({'decade_1870', 'cluster_13'})"
0.00017788341445321666,"frozenset({'decade_1870', 'cluster_30'})"
0.0001173273584691429,"frozenset({'decade_1870', 'cluster_53'})"
0.00033684306141141027,"frozenset({'decade_1870', 'cluster_59'})"
0.0002611479914313181,"frozenset({'decade_1870', 'cluster_91'})"
0.0002800717589263411,"frozenset({'decade_1870', 'cluster_81'})"
0.0001135426049701383,"frozenset({'decade_1870', 'cluster_29'})"
0.0002346547169382858,"frozenset({'decade_1870', 'cluster_25'})"
0.00021194619594425815,"frozenset({'decade_1870', 'cluster_32'})"
0.00021951570294226737,"frozenset({'decade_1870', 'cluster_48'})"
0.0001892376749502305,"frozenset({'decade_1870', 'cluster_4'})"
0.00024979373093430424,"frozenset({'decade_1870', 'cluster_17'})"
0.0001135426049701383,"frozenset({'decade_1870', 'cluster_0'})"
0.0001930224284492351,"frozenset({'decade_1870', 'cluster_11'})"
0.000223300456441272,"frozenset({'decade_1870', 'cluster_28'})"
0.006282690808347652,"frozenset({'decade_2010', 'cluster_43'})"
0.002407103225366932,"frozenset({'cluster_43', 'decade_2000'})"
0.0004125381313915025,"frozenset({'decade_1890', 'cluster_43'})"
0.00028385651242534573,"frozenset({'decade_1880', 'cluster_43'})"
0.00017031390745520745,"frozenset({'cluster_43', 'decade_1910'})"
0.0017523408700391343,"frozenset({'cluster_19', 'decade_2000'})"
0.004329758002861273,"frozenset({'cluster_19', 'decade_2010'})"
0.0002952107729223596,"frozenset({'decade_1880', 'cluster_19'})"
0.0005260807363616408,"frozenset({'decade_1890', 'cluster_19'})"
0.006154009189381496,"frozenset({'cluster_55', 'decade_2010'})"
0.00018545292145122588,"frozenset({'cluster_55', 'decade_1910'})"
0.001812896926023208,"frozenset({'cluster_55', 'decade_2000'})"
0.0002725022519283319,"frozenset({'decade_1890', 'cluster_55'})"
0.0001135426049701383,"frozenset({'cluster_55', 'decade_1900'})"
0.00012868161896615674,"frozenset({'decade_1880', 'cluster_55'})"
0.00013625112596416596,"frozenset({'decade_1440', 'cluster_81'})"
0.00010218834447312447,"frozenset({'cluster_19', 'decade_1440'})"
0.00010218834447312447,"frozenset({'decade_1440', 'cluster_91'})"
0.00010218834447312447,"frozenset({'decade_1440', 'cluster_83'})"
0.00010218834447312447,"frozenset({'cluster_1', 'decade_1440'})"
0.00017409866095421204,"frozenset({'cluster_14', 'decade_1440'})"
0.00020059193544724431,"frozenset({'decade_1470', 'cluster_14'})"
0.00016274440045719823,"frozenset({'decade_1470', 'cluster_1'})"
0.00016274440045719823,"frozenset({'decade_1470', 'cluster_48'})"
0.00017409866095421204,"frozenset({'decade_1470', 'cluster_75'})"
0.00024979373093430424,"frozenset({'decade_1470', 'cluster_83'})"
0.00012489686546715212,"frozenset({'decade_1470', 'cluster_4'})"
0.00015517489345918901,"frozenset({'cluster_71', 'decade_1470'})"
0.00023843947043729043,"frozenset({'decade_1470', 'cluster_19'})"
0.00016274440045719823,"frozenset({'decade_1470', 'cluster_15'})"
0.00010975785147113369,"frozenset({'decade_1470', 'cluster_13'})"
0.00021573094944326275,"frozenset({'decade_1470', 'cluster_91'})"
0.00016652915395620283,"frozenset({'decade_1470', 'cluster_38'})"
0.00016652915395620283,"frozenset({'decade_1470', 'cluster_24'})"
0.00020059193544724431,"frozenset({'cluster_25', 'decade_1470'})"
0.00016274440045719823,"frozenset({'decade_1470', 'cluster_81'})"
0.006914744642681422,"frozenset({'cluster_28', 'decade_2010'})"
0.0006396233413317791,"frozenset({'decade_1890', 'cluster_28'})"
0.0021686637549296413,"frozenset({'cluster_28', 'decade_2000'})"
0.00010597309797212908,"frozenset({'cluster_72', 'decade_1830'})"
0.00010597309797212908,"frozenset({'cluster_82', 'decade_1830'})"
0.00010975785147113369,"frozenset({'decade_1830', 'cluster_75'})"
0.00010975785147113369,"frozenset({'cluster_1', 'decade_1830'})"
0.0001589596469581936,"frozenset({'cluster_32', 'decade_1830'})"
0.004026977722940905,"frozenset({'cluster_71', 'decade_2010'})"
0.0007304574253078897,"frozenset({'decade_1890', 'cluster_71'})"
0.0016804305535580467,"frozenset({'cluster_71', 'decade_2000'})"
0.0001476053864611798,"frozenset({'cluster_24', 'decade_1540'})"
0.00010218834447312447,"frozenset({'cluster_1', 'decade_1540'})"
0.00010597309797212908,"frozenset({'cluster_88', 'decade_1540'})"
0.00012868161896615674,"frozenset({'decade_1670', 'cluster_93'})"
0.0004541704198805532,"frozenset({'decade_1670', 'cluster_82'})"
0.00012111211196814751,"frozenset({'decade_1670', 'cluster_91'})"
0.00012489686546715212,"frozenset({'decade_1670', 'cluster_14'})"
0.00016274440045719823,"frozenset({'decade_1670', 'cluster_75'})"
0.00035955158240543795,"frozenset({'decade_1670', 'cluster_24'})"
0.000223300456441272,"frozenset({'decade_1670', 'cluster_1'})"
0.000378475349900461,"frozenset({'cluster_71', 'decade_1670'})"
0.00017788341445321666,"frozenset({'decade_1670', 'cluster_69'})"
0.00012868161896615674,"frozenset({'decade_1670', 'cluster_83'})"
0.00010597309797212908,"frozenset({'decade_1670', 'cluster_4'})"
0.00010218834447312447,"frozenset({'decade_1670', 'cluster_77'})"
0.00012489686546715212,"frozenset({'decade_1670', 'cluster_88'})"
0.00014382063296217517,"frozenset({'decade_1670', 'cluster_94'})"
0.0001476053864611798,"frozenset({'cluster_27', 'decade_1670'})"
0.00027628700542733654,"frozenset({'decade_1670', 'cluster_17'})"
0.00014003587946317055,"frozenset({'decade_1670', 'cluster_81'})"
0.0001135426049701383,"frozenset({'decade_1670', 'cluster_99'})"
0.00010597309797212908,"frozenset({'decade_1790', 'cluster_75'})"
0.0001135426049701383,"frozenset({'decade_1790', 'cluster_59'})"
