antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'cluster_82'}),frozenset({'decade_1680'}),0.014234457909756337,0.001260322915168535,0.0001476053864611798,0.010369582557830366,8.227718811606076,1.0,0.00012966537297251187,1.009204708628708,0.8911445887568625,0.00961775585696671,0.009120754738862853,0.06374334983747375
frozenset({'decade_1680'}),frozenset({'cluster_82'}),0.001260322915168535,0.014234457909756337,0.0001476053864611798,0.11711711711711713,8.227718811606076,1.0,0.00012966537297251187,1.1165303588981332,0.8795681685349532,0.00961775585696671,0.10436828516972266,0.06374334983747375
frozenset({'cluster_82'}),frozenset({'decade_1650'}),0.014234457909756337,0.007652771574987321,0.0007985829882899727,0.05610210050518479,7.330951924470285,1.0,0.0006896499334128359,1.051328993269429,0.8760623393511372,0.03786791098348888,0.04882295988984926,0.08022711355625214
frozenset({'decade_1650'}),frozenset({'cluster_82'}),0.007652771574987321,0.014234457909756337,0.0007985829882899727,0.10435212660731949,7.330951924470285,1.0,0.0006896499334128359,1.1006172976844135,0.8702519059039007,0.03786791098348888,0.09141896815187436,0.08022711355625214
frozenset({'decade_1600'}),frozenset({'cluster_8'}),0.003288950790635006,0.008122081008863892,0.0001892376749502305,0.057537399309551214,7.084071095419853,1.0,0.00016252455019452605,1.0524321264997525,0.8616722296268451,0.016863406408094438,0.04981996005208875,0.040418280269873465
frozenset({'cluster_8'}),frozenset({'decade_1600'}),0.008122081008863892,0.003288950790635006,0.0001892376749502305,0.023299161230195715,7.084071095419852,1.0,0.00016252455019452605,1.020487553245848,0.8658709057053025,0.016863406408094438,0.020076240205658083,0.040418280269873465
frozenset({'cluster_82'}),frozenset({'decade_1660'}),0.014234457909756337,0.004958027083696039,0.00047309418737557623,0.033235841531507576,6.703440899062495,1.0,0.000402519359537273,1.0292499615341637,0.8631087665142423,0.025272947836635667,0.028418715207494137,0.06432784442987592
frozenset({'decade_1660'}),frozenset({'cluster_82'}),0.004958027083696039,0.014234457909756337,0.00047309418737557623,0.09541984732824427,6.703440899062495,1.0,0.000402519359537273,1.0897492490617884,0.8550623031630837,0.025272947836635667,0.08235770672845823,0.06432784442987592
frozenset({'cluster_93'}),frozenset({'decade_1610'}),0.00839836801429123,0.0037431212105155593,0.00020816144244525353,0.024785939612438034,6.621730427218556,1.0,0.0001767253329972446,1.0215776404962411,0.8561725252941633,0.01744370440849984,0.021121880159553668,0.040198834315824675
frozenset({'decade_1610'}),frozenset({'cluster_93'}),0.0037431212105155593,0.00839836801429123,0.00020816144244525353,0.05561172901921132,6.621730427218556,1.0,0.0001767253329972446,1.049993591042683,0.8521718558918108,0.01744370440849984,0.04761323447035285,0.040198834315824675
frozenset({'cluster_24'}),frozenset({'decade_1580'}),0.015464502796932835,0.001563103195088904,0.0001589596469581936,0.010279001468428781,6.576022300206575,1.0,0.0001347870332258466,1.0088064194720243,0.8612512109236848,0.009423378954453667,0.008729543450599177,0.05598695836133303
frozenset({'decade_1580'}),frozenset({'cluster_24'}),0.001563103195088904,0.015464502796932835,0.0001589596469581936,0.10169491525423728,6.576022300206575,1.0,0.0001347870332258466,1.095992345943037,0.8492598699797197,0.009423378954453667,0.08758486890749337,0.05598695836133303
frozenset({'decade_1540'}),frozenset({'cluster_88'}),0.0019642870659833927,0.008209130339340998,0.00010597309797212908,0.05394990366088632,6.571938979009711,1.0,8.984800942358969e-05,1.048349208460045,0.8495065802839059,0.010526315789473684,0.04611937326786998,0.0334295391978936
frozenset({'cluster_88'}),frozenset({'decade_1540'}),0.008209130339340998,0.0019642870659833927,0.00010597309797212908,0.012909174734900877,6.57193897900971,1.0,8.984800942358969e-05,1.0110880249200755,0.8548555259294471,0.010526315789473684,0.010966428883333042,0.0334295391978936
frozenset({'decade_1750'}),frozenset({'cluster_97'}),0.003803677266499633,0.015789991597847233,0.00039361436389647944,0.10348258706467663,6.553682212141593,1.0,0.0003335543318175277,1.0978147152543436,0.8506496201233923,0.02050068992706485,0.08909947543532579,0.06420533955343131
frozenset({'cluster_97'}),frozenset({'decade_1750'}),0.015789991597847233,0.003803677266499633,0.00039361436389647944,0.024928092042186,6.5536822121415925,1.0,0.0003335543318175277,1.0216644686440914,0.8610093539663691,0.02050068992706485,0.02120507202608648,0.06420533955343131
frozenset({'decade_1800'}),frozenset({'cluster_32'}),0.0028272108637564437,0.01503304089804631,0.00027628700542733654,0.09772423025435074,6.500629574356507,1.0,0.00023378542888508508,1.0916473567494946,0.848567826055354,0.01571244080929832,0.08395326218018354,0.058051440404113946
frozenset({'cluster_32'}),frozenset({'decade_1800'}),0.01503304089804631,0.0028272108637564437,0.00027628700542733654,0.018378650553877142,6.500629574356506,1.0,0.00023378542888508508,1.0158426053986045,0.8590833814876315,0.01571244080929832,0.015595531546334553,0.058051440404113946
frozenset({'decade_1660'}),frozenset({'cluster_24'}),0.004958027083696039,0.015464502796932835,0.0004958027083696039,0.1,6.466421928536467,1.0,0.00041912928466651775,1.0939283302256302,0.8495671489646569,0.024881291547958217,0.08586333092429997,0.06603034752814489
frozenset({'cluster_24'}),frozenset({'decade_1660'}),0.015464502796932835,0.004958027083696039,0.0004958027083696039,0.03206069505628977,6.466421928536466,1.0,0.00041912928466651775,1.0280003796045556,0.8586333092429996,0.024881291547958217,0.02723771329279737,0.06603034752814489
