name,0_H_sin,0_H_cos,0_S,0_B,0_weight,1_H_sin,1_H_cos,1_S,1_B,1_weight,2_H_sin,2_H_cos,2_S,2_B,2_weight,3_H_sin,3_H_cos,3_S,3_B,3_weight,4_H_sin,4_H_cos,4_S,4_B,4_weight,5_H_sin,5_H_cos,5_S,5_B,5_weight,6_H_sin,6_H_cos,6_S,6_B,6_weight,7_H_sin,7_H_cos,7_S,7_B,7_weight,8_H_sin,8_H_cos,8_S,8_B,8_weight,9_H_sin,9_H_cos,9_S,9_B,9_weight,0_H,1_H,2_H,3_H,4_H,5_H,6_H,7_H,8_H,9_H,min_H,max_H,min_S,max_S,min_B,max_B,cov_H,cov_S,cov_B,avg_H,var_H,avg_S,var_S,avg_B,var_B
cluster_15,0.5977019728448475,0.7225295140862878,0.21444003597426606,0.8981307726979985,4856.677882107459,0.5579242445469879,0.760208595005105,0.3159290042394906,0.8370213340933735,5118.196400625978,0.5199957236337445,0.7815617289470485,0.3859794950646031,0.7677443073512542,5131.8273343766305,0.48194934196614736,0.800821499819198,0.45385784636260074,0.6794946415191032,5257.5438184663535,0.4462359199699792,0.8069397058859298,0.49976924035243475,0.5754719061409737,5367.104329681794,0.41429659273881325,0.8020499005376348,0.5097179233701563,0.45380035801531476,5748.471830985915,0.30550760220552003,0.7843739267319665,0.535931031333216,0.28347867109493036,6994.41340636411,0.5902347916157591,0.7175304929419046,0.24493615962801984,0.8686759069506185,4766.328899321857,0.538441039135434,0.7608934961707041,0.34529694663074945,0.790714761065352,5167.038080333855,0.49085778095846977,0.7816428871744069,0.43166731439093053,0.678002575313453,5141.976264997392,39.59875594815617,36.275295928468594,33.63697649956023,31.040314894738678,28.94249932212307,27.3184862034868,21.280530381225887,39.44043830431656,35.284870711493326,32.128087500157115,21.280530381225887,39.59875594815617,0.21444003597426606,0.535931031333216,0.28347867109493036,0.8981307726979985,0.05088395990813967,0.32149099535894987,0.6146521016030682,31.942837685424387,5.621062036202935,0.40257232712903385,0.10641404255673258,0.6638846007465414,0.1965351589567381
cluster_16,0.5746717390848739,0.5760062286293844,0.1453518415687619,0.8657247071140802,4921.213861386139,0.4573402541730366,0.46531646957446265,0.18942842693926054,0.7891968814999082,4905.194851485148,0.3732029498176084,0.4394407822725549,0.22278256044860406,0.7074923726060822,5105.664554455446,0.3223382862543232,0.3811355784680424,0.23882000958212463,0.6419194748105146,5156.329900990099,0.32874622349685567,0.3573727697149326,0.2275649563715771,0.6186995576332245,5327.997227722773,0.37122943117190144,0.4256035510182678,0.22582305406034534,0.6587808330271638,5295.466138613861,0.3704790488420756,0.3211289818211435,0.20035086967474924,0.7014299582733257,5265.520792079208,0.40159355607436625,0.8043878648753013,0.29179668193391056,0.6467837837138236,4981.540594059406,-0.26338140705645946,-0.8202558832075058,0.15953399309281158,0.6425990517007938,6099.065346534653,-0.031889035075263195,-0.08007999291669321,0.2430259716760983,0.5290218695838589,5466.59405940594,44.933551709018275,44.50469976178938,40.340175780941074,40.222246542976656,42.610866964773955,41.09631429308211,49.08145381440886,26.530829576213296,197.80164981747393,201.71317698308215,26.530829576213296,201.71317698308215,0.1453518415687619,0.29179668193391056,0.5290218695838589,0.8657247071140802,0.4866176316857468,0.14644484036514865,0.33670283753022134,76.10040188849977,65.88226135962202,0.2138382089841707,0.04029236131427166,0.6771172563796453,0.08754978370390523
cluster_17,0.5868970228522314,0.6624090655065683,0.26990711133425,0.45179420999276043,4735.609985315712,0.5766019145854923,0.6165228009229394,0.2779010163396149,0.30577053437791446,5312.398531571219,0.5948418827649321,0.5351262919112482,0.24773260155482835,0.2398108335103868,5564.147723935389,0.585336936088176,0.4750835496005855,0.2360525038090548,0.22656854504604418,5638.817033773862,0.584205754216049,0.5075891892841511,0.2278772680371527,0.3007820675353129,5360.667254038179,0.5805816980290603,0.5512682945609931,0.24484044015518813,0.350241143562952,5252.168575624082,0.5680804527122321,0.6098509680341169,0.2615060878763803,0.3653302171350507,5138.750367107195,0.5786950379183811,0.6077591817647607,0.2654188804594018,0.32541128930705476,5291.868428781204,0.5771931871209597,0.5687403680011034,0.257052078415841,0.2682581388275379,5466.959471365639,0.5846862750001438,0.5059213383142916,0.24128630245171703,0.20892022519428244,5582.876358296623,41.54106859901745,43.08364935177662,48.025104214235014,50.935794114352994,49.01414310481519,46.48355254952611,42.969090739435444,43.59672647133758,45.422626665202664,49.13079515239807,41.54106859901745,50.935794114352994,0.2278772680371527,0.2779010163396149,0.20892022519428244,0.45179420999276043,0.026096459764820956,0.0500237483024622,0.242873984798478,46.13531786617688,3.0084218981379207,0.2525525924045828,0.015115363213080404,0.3010640928246562,0.06848926754145293
cluster_18,0.4532715686879621,0.6719247522872498,0.1349951176153139,0.812612273087327,4939.880791722897,0.11118689440012786,0.40549089062450816,0.17244363752503325,0.6681348140097827,4997.757984705353,-0.25498888401800357,0.05488711416408343,0.1916518978604123,0.5310969428631085,5323.601439496177,-0.502594666507455,-0.24588196641741894,0.21175416595766766,0.4134873668793936,5645.388214125056,-0.5624883426083847,-0.27280644225954326,0.24436523337539562,0.32260512502947114,5868.855600539811,-0.5833171959371226,-0.2833295213107878,0.29225270207758897,0.25749663489851116,6664.48987854251,0.474069842568133,0.5631376756294375,0.1278412159587718,0.7896379472344622,4716.776878092667,0.349752460129338,0.5595087731728501,0.1605599581302233,0.7234609790584687,5012.529014844804,0.04479287104654786,0.41775809184233964,0.19035150935901335,0.6057893850955811,5117.797570850203,-0.2677854054590981,0.15541826492815514,0.21248601945863382,0.48285671014409853,5232.907332433649,34.0030826576656,15.333798413154621,282.147733081105,243.930955586584,244.1266480812838,244.09317202559137,40.09189613370566,32.0097627959846,6.11998836862586,300.1301777477697,6.11998836862586,300.1301777477697,0.1278412159587718,0.29225270207758897,0.25749663489851116,0.812612273087327,0.8166949704976219,0.16441148611881717,0.5551156381888158,151.99298049001928,119.26825774348694,0.1984337949756982,0.04882935361150489,0.5437670210952917,0.1859376148409145
cluster_19,0.5359906209303043,0.7906085718016731,0.454105260959734,0.7665049785303789,4932.67700729927,0.4453140493030467,0.8154538631701087,0.5556246008623895,0.5844024111116779,5138.953163017031,0.40904516069007457,0.7514661278412453,0.5222550539861608,0.39648287020097417,5683.198296836983,0.2960089839018039,0.688566310142414,0.49600465590788434,0.24336556201943466,6327.740267639902,0.6048689424969942,0.7414579059880323,0.3425661336093015,0.8431733018128064,4267.806873479319,0.5261770923494767,0.8017475319138867,0.482313450452851,0.7565105160191347,5138.011557177615,0.48143968901216827,0.822430641217518,0.5357720609682539,0.6681260827716341,5046.348844282238,0.44466279368961015,0.8324308042485593,0.5682604738558265,0.5725533200259837,5155.068734793187,0.4314300686824027,0.8096579263340224,0.5529536496897216,0.47152455076317173,5341.541666666667,0.38070390551265304,0.7760347098637976,0.5369032104204895,0.37162304942827806,5601.109793187348,34.135185870559226,28.63866670749792,28.560755301793133,23.26247073203227,39.20698950416653,33.27640021269209,30.344124452802642,28.109968546241266,28.0511341373795,26.13145476859679,23.26247073203227,39.20698950416653,0.3425661336093015,0.5682604738558265,0.24336556201943466,0.8431733018128064,0.04429032992259516,0.22569434024652496,0.5998077397933717,29.594013444606507,4.190560673251457,0.507977101385028,0.05949919562211908,0.5507278998665952,0.1867844254004285
cluster_20,0.1758167260093023,0.3809750628905022,0.2044461030330214,0.8109936272735175,3012.0979899497493,0.11682817478287444,0.34958660044543644,0.2304884438899762,0.7496512021462883,2905.258793969849,0.07941797911902695,0.27036005020140585,0.2615026568978536,0.6657829825742845,2690.314070351759,-0.0003835369870741623,0.2524705462938527,0.1746686684601324,0.694677656975449,29019.13065326633,0.06832156742663074,0.18709030500321192,0.2563970979868537,0.7064267212760691,2407.331658291457,0.06281829674806472,0.345655809263379,0.24108796825838302,0.6692688621498198,3140.349246231156,0.1094822978521365,0.43569580609854686,0.26099416097676387,0.6361755587789323,3671.301507537688,0.05953956959552792,0.365856332835568,0.2779499787035155,0.6525507001831996,3307.7361809045224,0.1264651653788438,0.3685972785929349,0.2825051540988291,0.6298896520948877,3234.547738693467,0.09590906048160239,0.3898043023361785,0.28033271859463926,0.5798477198867722,3431.801507537688,24.772918968320166,18.479087267083543,16.370095177010807,359.91296001032737,20.06116344969175,10.300319312904158,14.105328320362156,9.243299732069758,18.93701653713558,13.822723690184132,9.243299732069758,359.91296001032737,0.1746686684601324,0.2825051540988291,0.5798477198867722,0.8109936272735175,0.9740823896618267,0.10783648563869669,0.23114590738674534,191.6300817847002,171.96162199275471,0.2144571429816645,0.04411143310307128,0.6845239198856575,0.04700528085638831
cluster_21,0.5260465310807111,0.5087172528647378,0.09876638565050436,0.9037919878665854,5410.8647422680415,0.5316214067760762,0.4514461285908477,0.1382913420351506,0.8452738987905988,4659.338556701031,0.3804310491152005,0.2735380373844465,0.16307420688158308,0.7874302920540346,5017.796701030928,0.35655344819909285,0.26362971856555384,0.18036761405624074,0.7432856993827063,5002.456907216495,0.34062313492825513,0.26350151489475837,0.18298057849120689,0.7205429135254557,5198.595463917526,0.32404870993823703,0.20882339964733973,0.1775242410636824,0.7289826473306241,5170.773608247423,0.2540439751923988,0.17639091397252354,0.18593171365048938,0.734017620673641,5048.079587628866,-0.22358217412164377,-0.8190522583429085,0.14946410320979364,0.7378237575687965,5618.074226804124,-0.19002947544077248,-0.46982902895015094,0.2011747266666309,0.6611297597457009,5799.905567010309,-0.017108959020469355,-0.1838294872537768,0.222166954887283,0.6416535077548711,5638.254845360825,45.95944766408213,49.662508389746364,54.283059476713404,53.52139174340862,52.274941902517156,57.201467066637335,55.226507345834854,195.26841905214167,202.02161682367333,185.31718505635882,45.95944766408213,202.02161682367333,0.09876638565050436,0.222166954887283,0.6416535077548711,0.9037919878665854,0.4335060254433089,0.12340056923677864,0.26213848011171437,98.54853124067199,66.52432165841898,0.17057672097474755,0.033417925579572336,0.7479656787015284,0.07532241949658977
cluster_22,0.3212195075458255,0.5687629975921629,0.19539161209343708,0.8770748532040976,3132.521649484536,0.2680398853708934,0.3563100381297075,0.2303236120606595,0.8170325465869182,2585.5195876288667,0.17270560050126005,0.35697428892160066,0.27275451851512805,0.728793574340677,2746.2886597938145,0.067507099455903,0.30571615186015816,0.28595174527388484,0.6473019540828521,2648.865979381443,0.09237897288804502,0.3100745842943172,0.3218635585751527,0.5617671009361195,2817.5958762886603,0.010421450536859389,0.35505692371912534,0.2922703840661824,0.6046417761898366,2364.5402061855657,0.15178235607618068,0.4811337345544753,0.14067921390974472,0.7628661340898281,33067.23711340207,0.26643478633602935,0.3977384023360223,0.25328244057704596,0.7973810479558469,2597.5525773195877,0.19131086698348265,0.4067549650133753,0.2625693459025924,0.7360082033105909,2886.1257731958763,0.1457214123042496,0.3780427723306121,0.2965547670832479,0.6164837639339479,3036.257731958763,29.45639921488103,36.9528956494037,25.817884359520786,12.452020437597255,16.590110199207277,1.6812339379091643,17.50882438842378,33.817119425424565,25.189217286778202,21.07979371845829,1.6812339379091643,36.9528956494037,0.14067921390974472,0.3218635585751527,0.5617671009361195,0.8770748532040976,0.09797683808748482,0.18118434466540798,0.31530775226797814,19.797606161389183,7.045607450737086,0.19487864038340244,0.06706619826357783,0.7408398443053971,0.07226861341948906
cluster_23,0.5380248504911539,0.754426260894949,0.4569613763819783,0.8550746929456372,5006.572508896797,0.4334751367741616,0.7505823528035508,0.5265416242863,0.7508921869430809,5049.777580071174,0.31808237498021175,0.6679244634830535,0.5105259644602549,0.621178956050344,4921.851868327402,0.13343442923603277,0.29971983279754016,0.4273588848632826,0.4811555009049393,5362.788256227758,-0.26337071881491714,-0.2987444296767376,0.39683574383924636,0.34764402054471144,5849.758007117438,-0.5143264071235425,-0.3595135801754863,0.4573127417622521,0.24241353524362652,6879.06628113879,0.5621614548518736,0.728232633794448,0.4294386840222071,0.8426542322261211,4947.646352313167,0.4459918283372972,0.7646843165731599,0.531557978220083,0.7656448968636853,4971.790035587189,0.3555541033084575,0.7099521208570964,0.5285268051799414,0.6573083500602351,4849.623220640569,0.1844361548578243,0.4569161365765039,0.4801061365577891,0.5337355032747347,5121.040925266904,35.494856768277685,30.007225354540434,25.464960788392002,23.998494270120343,221.39914480448078,235.04649469782134,37.66645760615516,30.252298781358114,26.602359191437703,21.98167734990556,21.98167734990556,235.04649469782134,0.39683574383924636,0.531557978220083,0.24241353524362652,0.8550746929456372,0.5918467148553216,0.13472223438083664,0.6126611577020107,76.9195287969429,85.59990474178237,0.47220390910366933,0.045803574410060006,0.591173343181004,0.20533150314016252
cluster_24,0.4232596997672509,0.8280343541813657,0.2845857293287348,0.7545926288083601,4154.10159118727,0.3160755651516888,0.8892177387222089,0.39878132114779946,0.5495067376946282,5039.911872705018,0.23017588110120088,0.9143756582999574,0.44521978913289784,0.41795609598526395,5080.2283965728275,0.16679306278526718,0.926644502473607,0.428993231143454,0.3233596849546376,5311.273929008568,0.09919726740633962,0.9197253367216223,0.40919302646170747,0.2610617173775964,5558.186780905753,0.06020174441393589,0.900503809641273,0.3801108182553137,0.24813166578693763,5700.745165238678,0.012081403789026918,0.880190833461258,0.38302841013422345,0.24990003205734618,5727.780416156671,0.012941616441926013,0.8753537705280294,0.3776354040333125,0.25746951781282484,5677.482741738066,0.015066011521982586,0.8674946975398485,0.39088220219642333,0.25838605052245456,5658.577968176254,-0.020064779351588236,0.8296626754533681,0.374457206209387,0.2433835566498629,5532.750550795594,27.07439216391663,19.56793500585055,14.12950213106429,10.20379718336294,6.155858146745073,3.824726584905698,0.7863862645213747,0.8470243787483547,0.9949710400205259,358.6146139201048,0.7863862645213747,358.6146139201048,0.2845857293287348,0.44521978913289784,0.2433835566498629,0.7545926288083601,0.9939672990432873,0.160634059804163,0.5112090721584972,44.76249842325632,106.95280168201043,0.3891234673070029,0.03750398258773151,0.3426632232182081,0.15136905836208125
